author,usertext,wordcount,thecount,Icount,andcount,upvotes
xDirtyyyy,"Really need a decent racing game in my life. Something reminiscent of the old NFS Underground games, Most Wanted (2005), Burnout, Forza Horizon, etc. Any suggestions?
Also, opinions on Black Desert Online?
",32,1,0,0,160
Manu_El_Blanco,"If you're willing to replay an ""old"" game, what about Burnout Paradise ? It's 2.50€ right now.
",17,0,0,0,209
ilikedonuts42,"+1 for burnout paradise. By far the most fun I've had playing a racing game. 
",15,1,0,0,114
Shawncb,"+2 for burnout paradise. Probably the best arcade style racing game to date. Awesome to play if you can get friends on. And just driving around Paradise City smashing billboards by yourself is great. Spent three hours just driving sandbox in my ""El Camino"" on Friday. That's not even including time I spent with other parts of the game. Keep in mind, if customization is your thing, this game doesn't have much to offer. If you only care about the awesome driving. This game is 100% for you. If you want decent racing and good customization Midnight Club LA is good. 
Edit: typos. 
",103,3,1,1,53
Arkadii,"Driver San Francisco isn't 100% a racing game in the way of those other ones but it's still really great
",20,1,0,0,46
OneManFreakShow,"Ridge Racer Unbounded is a really fun street racing game and it's criminally low at $2.49. I've heard people have issues with the PC version but it always ran fine for me. 
Sonic and Sega All-Stars Racing Transformed is an absolutely sublime kart racer, if you're into the Mario Kart games. 
Redout is a fun but really brutally difficult Wipeout-like racer. There is a steep learning curve, but it's enjoyable. 
The Dirt series is great - a bit closer to a sim than the games you mentioned, but not too much deeper than Forza Horizon. 
TrackMania 2 is awesome and weird. More of a time trials thing than actual head-to-head races, but a lot of fun nonetheless. If you buy a TM2 game, Stadium is the most active. 
Toybox Turbos is a really cheap Micro Machines-style arcade racer. A lot of fun in local multiplayer if that's your thing. 
Extreme-G 2 is a classic game. I have not played the recent PC port, but at $4 it may be worth a shot. 
Wreckfest is a demolition derby game that may appeal to you if you liked the crash modes in Burnout. 
Split/Second I've never actually played but a lot of people really love it. 
Hopefully these are some good suggestions for you!
",212,6,1,3,35
xDirtyyyy,"I remember playing the original TrackMania a while back and one of the Dirt games. Really good, might have to check those out. As for everything else, I will definitely check those out. A lot of those I've never heard of! Thanks!!
",42,2,2,1,4
Alex11235,"It's not on steam but forza horizon 3 is on the windows store. It's definitely one of the best open world racing games I've played in a long time due to the vast car selection and enjoyable open world.
",39,3,0,1,81
DragonaiGT,,0,0,0,0,32
cobalt_mcg,"Also, consider picking up at least the Hot Wheels expansion. It's just so much silly fun. 
",16,1,0,0,11
jenesuispasbavard,"It's also one of the best-looking games I've ever played.
",10,1,0,0,7
trepidation13,"Sonic All stars Racing Transformed. Cartoonish but definitely one of the best racing games I've ever played, great for local co-op as well
",23,1,0,0,46
spl1sh,"I like Black Desert Online and I hate MMOs. Graphics look good and combat is fun imo. I've only played a couple hours, but I heard it becomes a grindfest after level 50.
",33,0,3,2,26
Jaccount,"Well, there's some slight upside to that in that your Contribution points are shared across your ""Family"", so if you end up bogging down after you hit level 52-53, and feel the need for something different, you can start up a new character and not feel like too much is lost. 
Even better, you can use your level 50 to get some gear together for your new character and dump in the Veila warehouse and start off with nearly endgame gear. 
Then, when you get bored with that, you can play around with levelling up trade level. Or cooking. 
Just don't lock yourself into the ""I need to grind to endgame as quick as possible because it's a MMORPG... if you treat it more like an open world RPG, you can pace things a lot better, and probably hold off eventual burnout for quite a while. 
",146,3,0,5,24
TimeLordPony,"Or you could ignore end game all together and focus on fishing, building a boat, travelling out to sea and having fun. 
After my army of slaves working for beer built me a wooden raft, I completely forgot about the leveling to 60
",43,1,1,2,16
goudenbanaans,"are we still talking about a game because got beer and could use some labor. 
",15,0,0,1,14
TimeLordPony,"All workers require 2 things.
A task, and beer
(And lodging if you have more than 1 worker)
Using contribution points (quest points), you can buy property and invest in nodes. These nodes have job sites, such as a potato farm. You can go to a worker manager in town an request a worker. The worker is added to your list, and you can assign him to continually work at the node. As he works, he slowly loses energy, which is replenished with beer.
Additionally, you can assign buildings to storage (more storage space in town), crafting (uses items in storage to make items), or banks (invests gold bars to generate a slightly higher amount of silver over time). You can also use it as residence for your own personal use
",131,1,0,3,5
KeepinItRealGuy,"Forza horizon 3 is the best racing game of this generation so far. It's on Windows store. It's truly excellent.
",20,1,0,0,7
QP_Dangerous,"Bdo is good if you like grinding and lifeskilling like fishing, cooking, etc. Its actual pricetag should be a little higher because it's heavily recommended to get some pets that autoloot for you.
",33,0,0,1,4
internetlad,"I like the GRID series. I played the shit out of the Figure 8 mode of the first one, which I believe was sadly discontinued.
If you're looking for the over the top damage of FlatOut and Burnout, give Next Car Game a try. It's Early Access but it's at a decent place where most of the features are complete or near it. 
",63,7,3,1,4
emberfiend,"The real sale protip: go back to your library and pick out some neglected games. You probably have a lot of great games you aren't playing. Go and play them, and get back into gaming instead of this insane shopping metagame.
",41,0,0,3,2848
xdoolittlex,"The best advice I'll stupidly not follow.
",7,0,0,0,985
taylorguitar13,"Yeah... Seems like my unconscious philosophy is hoard first, play later 
",11,0,0,0,143
shakeybakey24,"Or just hoard.
",3,0,0,0,116
ShwayNorris,"Looks at my Steam Library, it's now over 1000 games
Yeah, sounds about right.
",14,0,0,0,30
CDDom,"True story. Went back and played Wolfenstein after E3 - brilliant.
",11,0,0,1,117
su1ac0,"I got the new order because it was on some ""deals with gold"" sale recently. Holy hell how had I not heard how great that game was? I couldn't put it down.
",32,1,3,0,49
maqikelefant,"You should definitely try The Old Blood, too.  Every bit as good as TNO, arguably better in parts.
",18,0,0,0,8
48395634986,"it didnt run properly on my old computer and i had forgotten about it, did the same thing as you. although it was too easy even on the hardest difficulty imo, it didnt feel as punishing as doom
now on to witcher 3 that i bought and played the first hour 5x over on 'new playthroughs just in case i forgot some of the story'....
",65,4,0,2,10
Flairtor,"But, but I love adding games that I'll never play to my cart!
",13,0,1,0,146
madn3ss795,"Add them to your cart, but take a look at your library before hitting purchase button.
",16,0,0,0,51
kjhwkejhkhdsfkjhsdkf,"I filled up my cart from my wishlist on Day 1, and I'm going to keep it in the cart until the last day, then I'll really decide if still want to buy those things. Since nothing really changes there is no point in rushing to buy it. 
",48,2,1,1,12
DiscordianAgent,"Steam clears out stuff in your cart after a while, which I learned during the last steam sale. Which seems like a crazy oversight, as I had a few hundred in stupid random games in there, when it cleared out I figured if I couldn't remember the game I must not really need it, ended up buying less overall.
",59,2,5,0,13
lodolfo,"Good Guy Steam: Doesn't really need your money at this point; clears out your shopping cart so you don't spend more than you should.
",24,0,0,0,17
thekbob,"I did one better, bought Rimworld at full price.
No regrets, no sarcasm.  Game is pretty awesome!
",17,0,1,0,17
ehjo,"Rimworld is worth $30 and ignoring your backlog
",8,0,0,1,12
Cheesedoodlerrrr,"A17 + like 40 mods... oh man.
Sank hundreds of hours into this game.  Freaking worth it, even at ""full price""
",21,0,0,0,4
AREVbavarianGod,"You are not wrong but there are starving indie developers that I am trying to feed here!
",17,0,1,0,76
gatton,"Yea! Like those pathetic waifs at Bethesda!
",7,0,0,0,32
Conny_and_Theo,"This weekend I did that with Endless Legend which I bought during the most recent winter sale. Though I don't see it being my most favorite game ever, I wasn't disappointed by it. And while it's no replacement for Civ it definitely does some things better than it, and it's quite enjoyable.
Makes me wish PI did a fantasy GSG with Stellaris-style procedural generation and customization.
",66,1,4,2,7
LMW-YBC,"Did that this morning with Nier Automata, I sort of just stopped playing into the second playthrough. Such a good game.
",21,1,1,0,21
tomjulio,"This is my ""waiting till it falls to $20"" game on my mental wishlist.
",14,0,0,0,68
conye-west,"That's for the best. The technical issues are pretty bad right now. Especially if you have a Geforce 700 series card. I have a 970m and it took a lot of tinkering to get it to run stable. The game itself is amazing but the tech issues really hold it back (just like Dishonored 2).
",55,2,1,1,11
EmperorAcinonyx,"Finish the second run as fast as you can. The third ""playthrough"" is 100% new content and story. It's a fucking rollercoaster, you'll see what I mean.
",27,1,1,1,35
KuroX,"Thank you for this.  I'm about halfway through second playthrough and it's becoming a bit of a slog.  I'll power through it!
",22,0,0,1,12
Whitesock1,"The first save point is destroying me!
",7,0,0,0,5
Reaper7412,"Same. Good game, but it kinda slows down if you start that second play through too quickly after the first.  I need to get back into when I get a chance
",31,1,2,0,7
EmperorAcinonyx,"Copying what I said to the OP.
Finish the second run as fast as you can. The third ""playthrough"" is 100% new content and story. It's a fucking rollercoaster, you'll see what I mean.
",34,2,2,1,11
